#node	date	numeric date
NC_006057.1	2003-05-20	2003.382192
NODE_0000077	1813-10-10	1813.774009
NC_043447.1	2001-10-08	2001.768493
NC_040399.1	1977-07-01	1977.497260
NODE_0000078	1482-05-13	1482.364368
NODE_0000079	1531-07-17	1531.541109
NC_025474.1	2007-01-12	2007.031507
NC_018570.2	2005-11-29	2005.910959
NODE_0000080	1499-08-07	1499.598814
NODE_0000081	1535-12-30	1535.995982
NODE_0000082	1818-07-01	1818.497355
NC_009891.1	2009-06-07	2009.431507
NC_039004.1	2003-01-15	2003.039726
NODE_0000083	1564-09-18	1564.714207
NODE_0000084	1805-11-17	1805.878789
NC_029038.1	2015-09-19	2015.716438
NC_040675.1	2007-01-13	2007.034247
NODE_0000085	1781-04-29	1781.325545
NC_003628.1	1993-01-14	1993.036986
NODE_0000086	1889-07-03	1889.502530
NC_006964.1	2004-12-19	2004.965847
NC_006965.1	2007-08-04	2007.590411
NODE_0000087	1535-02-18	1535.134010
NODE_0000088	1557-06-27	1557.485313
NODE_0000089	1612-11-03	1612.839383
NC_039077.1	2011-01-05	2011.012329
NODE_0000090	1666-04-09	1666.270539
NODE_0000091	1855-11-30	1855.914186
NC_030651.1	2007-01-12	2007.031507
NC_011190.1	2007-09-16	2007.708219
NODE_0000092	1785-06-27	1785.485858
NODE_0000093	1843-12-23	1843.977872
NC_005289.1	2002-04-30	2002.327397
NC_003003.1	2000-01-19	2000.050546
NODE_0000094	1816-11-26	1816.902840
NC_023016.1	2008-05-13	2008.364754
NC_038760.1	2003-01-11	2003.028767
NODE_0000095	1580-05-06	1580.344617
NODE_0000096	1661-05-05	1661.341465
OQ818326	2018-09-11	2018.694521
NC_031766.1	2016-06-21	2016.471311
NODE_0000097	1662-09-29	1662.743064
NODE_0000098	1838-06-09	1838.436605
NC_027915.1	2001-01-12	2001.031507
NC_003496.1	1996-09-13	1996.700820
NODE_0000099	1700-03-25	1700.228957
NODE_0000100	1876-06-11	1876.443337
NC_010709.1	2003-02-07	2003.102740
NC_013218.1	2001-08-27	2001.653425
NODE_0000101	1718-12-15	1718.955853
NODE_0000102	1777-06-04	1777.422240
NC_028139.1	2007-01-10	2007.026027
NC_003545.1	1992-07-01	1992.498634
NODE_0000103	1750-01-28	1750.074863
NC_003799.1	2001-01-19	2001.050685
NODE_0000104	1795-08-15	1795.621045
NC_003549.1	1985-07-23	1985.557534
NODE_0000105	1835-09-08	1835.686239
NC_022004.1	2005-05-15	2005.368493
NC_003741.1	1992-03-10	1992.189891
NODE_0000106	1559-11-08	1559.854610
NODE_0000107	1586-02-14	1586.121134
NODE_0000108	1631-05-13	1631.361920
NC_006056.1	2001-08-01	2001.582192
NODE_0000109	1861-05-08	1861.348326
NC_003623.1	1989-10-13	1989.782192
NC_040586.1	2009-02-16	2009.127397
NODE_0000110	1612-02-01	1612.086014
NC_009757.1	2006-12-26	2006.984932
NODE_0000111	1846-11-20	1846.887432
NC_003621.1	1989-05-02	1989.332877
NC_003694.1	1986-07-01	1986.497260
NODE_0000112	1573-12-08	1573.935770
NODE_0000113	1610-10-21	1610.805268
NC_003626.1	1996-08-22	1996.640710
NODE_0000114	1630-07-12	1630.526736
OQ818327	2018-09-11	2018.694521
NODE_0000115	1768-11-03	1768.839056
NODE_0000116	1808-05-08	1808.352143
NC_003550.1	1983-07-01	1983.497260
NC_003495.1	1991-07-01	1991.497260
NODE_0000117	1800-01-15	1800.041017
NC_018226.1	2007-01-10	2007.026027
NODE_0000118	1842-12-30	1842.995885
NC_005290.1	2002-04-30	2002.327397
NODE_0000119	1876-09-04	1876.674977
NC_003738.1	1986-07-01	1986.497260
NC_030886.1	2002-06-09	2002.436986
NODE_0000120	1595-12-27	1595.988307
NC_038320.1	2008-10-02	2008.752732
NODE_0000121	1619-10-24	1619.812898
NC_039236.1	2007-01-15	2007.039726
NODE_0000122	1696-03-22	1696.222380
NC_025479.2	2012-02-12	2012.116120
NODE_0000123	1727-01-18	1727.047756
NC_035218.1	2007-01-12	2007.031507
NODE_0000124	1779-03-26	1779.230948
NC_001632.1	2000-06-01	2000.416667
NODE_0000125	1835-09-27	1835.738452
NC_009013.1	2007-01-03	2007.006849
NODE_0000126	1883-10-13	1883.781249
NC_013075.1	2002-05-09	2002.352055
NODE_0000127	1912-10-24	1912.812751
NC_027926.1	2001-05-15	2001.368493
NC_010987.1	2007-01-07	2007.017808
NODE_0000128	1315-03-09	1315.184595
NODE_0000129	1341-09-12	1341.696810
NODE_0000130	1658-02-25	1658.152829
NC_033819.1	2012-01-13	2012.034153
NODE_0000131	1738-08-08	1738.601185
NODE_0000132	1846-10-18	1846.796028
NC_016964.1	2011-10-21	2011.804110
NODE_0000133	1918-03-09	1918.185904
NC_015940.1	2009-06-05	2009.426027
NC_015941.1	2007-08-24	2007.645205
NODE_0000134	1777-08-27	1777.654265
NODE_0000135	1857-12-16	1857.958377
NC_003987.1	2008-07-01	2008.498634
NC_004451.1	2001-11-30	2001.913699
NODE_0000136	1850-04-04	1850.256545
OQ818329	2018-09-12	2018.697260
NODE_0000137	1911-08-07	1911.598898
OQ818321	2019-01-07	2019.017808
NODE_0000138	1997-09-25	1997.733629
NC_033820.1	2012-01-13	2012.034153
OQ818320	2018-07-27	2018.568493
NODE_0000139	1503-07-15	1503.536164
NODE_0000140	1748-10-26	1748.819025
NC_027917.1	2002-02-15	2002.124658
NODE_0000141	1795-10-22	1795.808170
NODE_0000142	1885-05-16	1885.371506
NC_029052.1	2007-01-15	2007.039726
NC_035455.1	2005-02-17	2005.130137
NODE_0000143	1893-08-22	1893.639634
NC_035457.1	2007-01-12	2007.031507
NC_025890.1	2008-11-12	2008.864754
NODE_0000144	1544-01-26	1544.070850
NODE_0000145	1578-10-28	1578.823279
NODE_0000146	1850-07-26	1850.565822
NC_023988.1	2012-01-11	2012.028689
NC_027128.1	2003-01-13	2003.034247
NODE_0000147	1610-01-07	1610.016807
NODE_0000148	1834-06-15	1834.453165
NC_023985.1	2011-07-15	2011.535616
NC_038319.1	2007-01-06	2007.015068
NODE_0000149	1808-02-06	1808.098503
NODE_0000150	1901-12-04	1901.925972
NC_038311.1	2006-04-19	2006.297260
NODE_0000151	1924-12-16	1924.956302
NC_021566.1	2006-11-13	2006.867123
NC_001617.1	2009-04-04	2009.256164
NODE_0000152	1808-05-08	1808.351583
NODE_0000153	1915-11-09	1915.855448
NC_001430.1	2009-09-04	2009.675342
NC_038308.1	2007-02-27	2007.157534
NODE_0000154	1935-11-22	1935.891242
NC_001490.1	1984-07-01	1984.498634
NC_038312.1	2007-01-14	2007.036986
NODE_0000155	1603-04-23	1603.309497
NODE_0000156	1617-07-15	1617.534540
NC_033152.1	2007-01-14	2007.036986
NODE_0000157	1917-09-03	1917.672724
NC_040716.1	2004-01-17	2004.045082
NODE_0000158	1942-12-20	1942.968657
NC_040574.1	2007-01-15	2007.039726
NC_040832.1	2015-12-17	2015.960274
NODE_0000159	1632-12-16	1632.958688
NC_035450.1	2007-01-17	2007.045205
NODE_0000160	1790-03-18	1790.208414
NODE_0000161	1813-04-26	1813.315865
NC_028364.1	2007-01-14	2007.036986
NODE_0000162	1861-08-21	1861.638169
NC_001489.1	1987-08-05	1987.593151
NODE_0000163	1893-01-22	1893.058106
NC_038315.1	2007-01-10	2007.026027
NC_028363.1	2007-01-12	2007.031507
NODE_0000164	1804-10-15	1804.787315
NODE_0000165	1858-03-21	1858.217592
NC_038314.1	2007-01-12	2007.031507
NC_038313.1	2007-01-04	2007.009589
NODE_0000166	1835-09-13	1835.698890
NC_027818.1	2014-06-15	2014.453425
NODE_0000167	1858-01-14	1858.037783
NC_038316.1	2007-01-11	2007.028767
NODE_0000168	1904-07-14	1904.533704
NC_028365.1	2007-01-10	2007.026027
NODE_0000169	1936-05-06	1936.345849
NC_028366.1	2015-02-15	2015.124658
NC_028981.1	2007-01-15	2007.039726
NODE_0000170	1315-03-09	1315.184595
NODE_0000171	1511-09-23	1511.728512
NODE_0000172	1539-06-01	1539.415796
NC_035115.1	2014-11-15	2014.872603
NODE_0000173	1578-06-23	1578.474218
NODE_0000174	1804-10-10	1804.774374
NC_003924.1	1999-12-20	1999.968493
NODE_0000175	1962-11-04	1962.841933
NC_031687.1	2016-06-17	2016.460383
NC_031688.1	2016-06-25	2016.482240
NODE_0000176	1700-12-19	1700.967099
NC_033824.1	1986-07-01	1986.497260
NODE_0000177	1776-08-29	1776.660480
NC_004365.1	2008-08-02	2008.586066
NODE_0000178	1886-03-25	1886.229233
NC_001874.1	1997-09-05	1997.678082
NODE_0000179	1961-02-20	1961.139121
NC_035184.1	2006-10-17	2006.793151
NC_034973.1	2015-02-15	2015.124658
NODE_0000180	1537-08-05	1537.592281
NODE_0000181	1566-12-26	1566.983977
NC_009758.1	2006-12-26	2006.984932
NODE_0000182	1813-01-11	1813.030094
NC_003782.1	1998-08-20	1998.634247
NC_003783.1	1999-08-17	1999.626027
NODE_0000183	1562-02-20	1562.138682
NODE_0000184	1866-07-05	1866.508773
NC_025219.1	2007-01-13	2007.034247
NC_025835.1	2007-01-04	2007.009589
NODE_0000185	1601-04-30	1601.327140
NODE_0000186	1630-04-14	1630.284717
NC_002066.1	1998-09-17	1998.710959
NODE_0000187	1668-12-03	1668.920859
NODE_0000188	1828-01-09	1828.022280
NC_031338.1	2016-06-17	2016.460383
NC_014137.1	2001-11-07	2001.850685
NODE_0000189	1841-12-24	1841.980261
NC_003779.1	1997-08-12	1997.612329
NODE_0000190	1876-10-30	1876.827920
NC_026733.1	2013-06-22	2013.472603
NC_040724.1	2013-07-21	2013.552055
NODE_0000191	1619-06-25	1619.481972
NODE_0000192	1640-04-11	1640.277183
NC_034217.1	2014-03-20	2014.215068
NODE_0000193	1686-10-31	1686.830454
NC_040798.1	2007-02-16	2007.127397
NC_036389.1	2010-01-10	2010.026027
NODE_0000194	1648-01-15	1648.038626
NODE_0000195	1687-10-28	1687.823701
NC_031749.1	2001-01-15	2001.039726
NC_021567.1	2010-02-17	2010.130137
NODE_0000196	1677-07-16	1677.537498
NODE_0000197	1728-02-08	1728.104733
NC_023022.1	2007-01-03	2007.006849
NODE_0000198	1957-08-13	1957.616056
NC_006494.1	2003-07-03	2003.502740
NC_004830.2	2006-12-02	2006.919178
NODE_0000199	1821-10-24	1821.813693
NC_033619.1	2014-10-21	2014.804110
NODE_0000200	1853-09-28	1853.740821
NC_024016.1	2007-01-11	2007.028767
NODE_0000201	1888-09-18	1888.713890
NODE_0000202	1909-03-10	1909.187677
NC_023483.1	2008-05-13	2008.364754
NC_027713.1	2011-11-30	2011.913699
NODE_0000203	1905-12-06	1905.929796
NC_024497.1	2010-10-08	2010.768493
NC_026250.1	2007-01-12	2007.031507
NODE_0000204	1373-05-30	1373.409906
NODE_0000205	1660-04-05	1660.261826
NODE_0000206	1810-03-17	1810.207220
NC_016405.1	2011-01-10	2011.026027
NC_036585.1	2014-11-14	2014.869863
NODE_0000207	1764-05-02	1764.334718
NC_029306.1	2009-09-15	2009.705479
NODE_0000208	1831-11-27	1831.905000
NC_027214.1	2014-11-25	2014.900000
NODE_0000209	2003-07-31	2003.579380
NC_029307.1	2009-09-15	2009.705479
NC_035110.1	2007-10-14	2007.784932
NODE_0000210	1373-05-30	1373.409906
NODE_0000211	1529-09-10	1529.691273
NODE_0000212	1567-08-24	1567.645668
NC_039210.1	2007-01-11	2007.028767
NODE_0000213	1874-01-26	1874.070830
NC_010354.1	2007-10-19	2007.798630
NC_008029.1	2005-11-14	2005.869863
NODE_0000214	1566-04-22	1566.305166
NODE_0000215	1566-04-22	1566.305166
NODE_0000216	1867-08-03	1867.588961
NC_024078.1	2013-02-19	2013.135616
NC_043516.1	2010-01-25	2010.067123
NODE_0000217	1601-10-19	1601.799047
NODE_0000218	1734-05-11	1734.357057
NC_007522.1	2004-10-26	2004.818306
NODE_0000219	1810-12-10	1810.940881
NC_024031.1	2008-10-29	2008.826503
NC_035675.1	2006-01-14	2006.036986
NODE_0000220	1643-06-15	1643.452947
NODE_0000221	1746-05-24	1746.392488
NC_017936.1	2011-11-18	2011.880822
NODE_0000222	1812-06-29	1812.492230
NC_030793.1	2016-04-22	2016.307377
NODE_0000223	1958-07-11	1958.524960
NC_007916.1	2005-05-20	2005.382192
NODE_0000224	1981-07-18	1981.545172
NC_006875.1	2003-08-20	2003.634247
NC_004064.1	2003-07-02	2003.500000
NODE_0000225	1648-09-02	1648.671099
NODE_0000226	1777-01-25	1777.067923
NC_033081.1	2007-01-13	2007.034247
NODE_0000227	1860-03-06	1860.178208
NC_040674.1	2015-07-20	2015.549315
NC_012699.1	1981-07-01	1981.497260
NODE_0000228	1773-12-25	1773.982745
NC_008311.1	2011-08-05	2011.593151
NODE_0000229	1808-04-15	1808.287955
NC_029645.1	2006-06-06	2006.428767
NODE_0000230	1863-11-13	1863.867501
NC_044047.1	1998-07-01	1998.497260
NC_045762.1	2012-02-02	2012.088798
NODE_0000231	1631-12-02	1631.918966
NC_038317.1	2007-01-11	2007.028767
NODE_0000232	1657-09-28	1657.741840
NODE_0000233	1706-09-18	1706.712653
NC_014411.1	2001-11-07	2001.850685
NODE_0000234	1913-06-11	1913.441915
NC_023861.1	1994-03-22	1994.220548
NODE_0000235	1945-12-17	1945.961275
NC_024765.1	2010-10-08	2010.768493
NC_028380.1	2007-01-13	2007.034247
NODE_0000236	1728-12-11	1728.944744
NODE_0000237	1766-01-31	1766.084187
