Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
MF947436.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947437.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Viet Nam,Scotophilus kuhlii,1,2015,0
MF947438.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947439.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Viet Nam,Scotophilus kuhlii,1,2014,0
MF947440.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Viet Nam,Scotophilus kuhlii,1,2014,0
MH747478.1,Canine kobuvirus,26,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,0,2016,0
MK671314.1,Feline kobuvirus,FKV/18CC0503,Aichivirus A,Kobuvirus,China,Felis catus,0,2018,0
MK671315.1,Feline kobuvirus,FKV/18CC0718,Aichivirus A,Kobuvirus,China,Felis catus,0,2018,0
MK962320.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962321.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962322.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962323.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962324.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962325.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2018,0
MK962326.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962327.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962328.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962329.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962330.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
MK962331.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
