#node	date	numeric date
NODE_0000227	2005-01-20	2005.053334
NODE_0000228	2011-08-09	2011.603705
NODE_0000229	2013-03-22	2013.221296
MZ544229.1	2014-11-11	2014.861644
NODE_0000230	2013-12-08	2013.934618
MZ544218.1	2014-06-11	2014.442466
NODE_0000231	2014-02-02	2014.089734
MZ544308.1	2015-02-13	2015.119178
MZ544217.1	2014-06-17	2014.458904
NODE_0000232	2013-06-19	2013.464623
NODE_0000233	2013-11-19	2013.882616
MZ544300.1	2014-06-17	2014.458904
MZ544239.1	2015-02-13	2015.119178
NODE_0000234	2013-08-29	2013.658743
MZ544304.1	2014-09-17	2014.710959
NODE_0000235	2013-10-28	2013.824027
MZ544305.1	2014-11-11	2014.861644
NODE_0000236	2014-02-07	2014.103937
MZ544237.1	2015-02-04	2015.094521
NODE_0000237	2014-04-13	2014.279534
MZ544303.1	2014-09-16	2014.708219
MZ544231.1	2014-11-12	2014.864384
NODE_0000238	2010-03-05	2010.173125
MZ544238.1	2015-02-04	2015.094521
NODE_0000239	2011-02-02	2011.088390
NODE_0000240	2012-01-03	2012.007875
MZ544307.1	2015-02-06	2015.100000
NODE_0000241	2013-08-06	2013.596389
MZ544214.1	2014-06-10	2014.439726
NODE_0000242	2013-10-08	2013.768029
MZ544225.1	2014-09-18	2014.713699
NODE_0000243	2014-02-22	2014.143597
MZ544227.1	2014-11-11	2014.861644
MZ544228.1	2014-11-11	2014.861644
NODE_0000244	2012-10-24	2012.812709
NODE_0000245	2014-03-15	2014.200390
MZ544215.1	2014-06-11	2014.442466
MZ544298.1	2014-06-11	2014.442466
NODE_0000246	2013-03-04	2013.171258
MZ544295.1	2014-06-17	2014.458904
NODE_0000247	2013-05-30	2013.409112
NODE_0000248	2013-08-09	2013.604733
MZ544216.1	2014-06-17	2014.458904
NODE_0000249	2013-10-19	2013.797364
MZ544230.1	2014-11-12	2014.864384
MZ544297.1	2014-06-17	2014.458904
NODE_0000250	2013-11-10	2013.857693
NODE_0000251	2014-05-29	2014.407496
MZ544296.1	2014-06-11	2014.442466
MZ544306.1	2014-11-13	2014.867123
NODE_0000252	2013-12-14	2013.952628
MZ544302.1	2014-09-18	2014.713699
NODE_0000253	2014-05-04	2014.337297
MZ544301.1	2014-09-17	2014.710959
MZ544299.1	2014-06-11	2014.442466
NODE_0000118	1962-02-14	1962.122361
NODE_0000119	1965-10-05	1965.760063
MZ218061.1	2014-10-15	2014.787671
NODE_0000120	1969-08-22	1969.640754
NODE_0000121	1972-05-19	1972.382509
OQ818336	2019-01-07	2019.017808
OQ818327	2018-09-11	2018.694521
NODE_0000122	1974-12-25	1974.981314
NODE_0000123	1997-02-19	1997.135884
NODE_0000124	2010-02-28	2010.159054
KJ641685.1	2010-12-15	2010.954795
NODE_0000125	2012-06-06	2012.430835
KJ641692.1	2014-04-15	2014.286301
KJ641688.1	2012-11-15	2012.872951
NODE_0000126	2004-06-06	2004.429519
ON375333.1	2018-07-27	2018.568493
NODE_0000127	2006-10-18	2006.796756
ON375332.1	2020-07-08	2020.517760
KJ641697.1	2013-03-15	2013.201370
NODE_0000128	1975-06-24	1975.479188
NODE_0000129	1993-02-06	1993.101044
KT452742.1	2014-07-15	2014.535616
NODE_0000130	1995-11-03	1995.838937
NODE_0000131	2000-05-20	2000.383998
KT452729.1	2010-07-15	2010.535616
NODE_0000132	2002-10-22	2002.807120
OM302498.1	2018-07-27	2018.568493
KT452730.1	2010-07-15	2010.535616
NODE_0000133	1999-08-29	1999.658426
NODE_0000134	2004-09-29	2004.744296
KT452714.1	2010-07-15	2010.535616
OQ818337	2018-02-15	2018.124658
NODE_0000135	2004-01-05	2004.011569
KX420952.1	2012-10-15	2012.788251
MG559674.1	2011-09-29	2011.743836
NODE_0000136	1982-01-10	1982.025772
NODE_0000137	2000-12-14	2000.951188
MK468720.1	2019-01-28	2019.075342
HQ585111.1	2009-09-03	2009.672603
NODE_0000138	1982-11-07	1982.851561
NODE_0000139	2006-08-28	2006.656936
OP880198.1	2020-07-08	2020.517760
OQ818341	2018-07-27	2018.568493
NODE_0000140	1987-10-07	1987.764619
OQ818335	2018-08-06	2018.595890
NODE_0000141	1991-07-14	1991.532585
OQ818339	2018-02-15	2018.124658
NODE_0000142	2007-12-27	2007.988047
NODE_0000143	2020-09-14	2020.704901
OQ363761.1	2020-11-15	2020.872951
OQ363759.1	2022-07-15	2022.535616
NODE_0000144	2009-05-21	2009.384704
NODE_0000145	2011-05-09	2011.352119
OQ363755.1	2022-07-15	2022.535616
NODE_0000146	2020-10-22	2020.808553
OQ363758.1	2020-11-15	2020.872951
OQ363751.1	2022-07-15	2022.535616
NODE_0000147	2010-10-19	2010.798190
NODE_0000148	2020-01-05	2020.013329
OQ363752.1	2022-07-15	2022.535616
OQ363753.1	2022-07-15	2022.535616
NODE_0000149	2010-11-03	2010.839783
OQ363757.1	2010-11-15	2010.872603
OQ363754.1	2022-07-15	2022.535616
NODE_0000117	1965-02-11	1965.114585
KJ641684.1	2010-12-15	2010.954795
NODE_0000110	1967-07-05	1967.507295
NODE_0000111	1985-02-11	1985.113921
ON872527.1	2019-07-15	2019.535616
NODE_0000112	1988-11-03	1988.840749
KJ641701.1	2012-11-15	2012.872951
NODE_0000113	1992-11-18	1992.882088
KU712496.1	--	--
NODE_0000114	1999-09-25	1999.733426
KJ641703.1	2010-10-15	2010.787671
NODE_0000115	2002-06-24	2002.479047
OP930874.1	2022-07-15	2022.535616
NODE_0000116	2012-06-25	2012.481562
MZ218056.1	2018-10-15	2018.787671
KU712497.1	2013-07-15	2013.535616
NODE_0000103	1980-08-23	1980.642607
NODE_0000104	1985-07-24	1985.560472
NODE_0000105	1993-05-26	1993.398496
KJ641689.1	2012-11-15	2012.872951
NODE_0000106	2000-02-07	2000.102456
KJ641696.1	2013-03-15	2013.201370
MF352431.1	2012-07-15	2012.536885
NODE_0000107	2001-07-13	2001.529439
OQ818329	2018-09-12	2018.697260
NODE_0000108	2008-03-29	2008.242529
OQ818321	2019-04-23	2019.308219
NODE_0000109	2013-01-07	2013.016756
OQ818320	2019-01-07	2019.017808
KX644938.1	2013-12-15	2013.954795
NODE_0000066	1983-12-19	1983.964500
NODE_0000067	1988-03-27	1988.236759
NODE_0000068	1997-05-23	1997.389945
MF352416.1	2012-07-15	2012.536885
NODE_0000069	2005-03-01	2005.162949
OQ363777.1	2020-11-15	2020.872951
NODE_0000070	2008-07-14	2008.533953
KJ641694.1	2010-12-15	2010.954795
MF352415.1	2012-07-15	2012.536885
NODE_0000071	1991-05-09	1991.350839
NODE_0000072	1995-03-17	1995.208002
OP963617.1	2018-07-15	2018.535616
NODE_0000073	2004-01-05	2004.013031
OQ363772.1	2021-12-15	2021.954795
NODE_0000074	2004-02-05	2004.098019
NODE_0000075	2005-11-11	2005.862987
OP963614.1	2018-07-15	2018.535616
OP963618.1	2018-07-15	2018.535616
NODE_0000076	2018-07-15	2018.535616
OP963619.1	2018-07-15	2018.535616
NODE_0000077	--	--
NODE_0000078	--	--
KJ641702.1	--	--
NODE_0000079	--	--
KJ790198.1	--	--
MF373609.1	--	--
NODE_0000080	--	--
OP930875.1	--	--
NODE_0000081	--	--
JN899075.1	--	--
NODE_0000082	--	--
JN899074.1	--	--
JN899072.1	--	--
NODE_0000083	1994-02-01	1994.085591
NODE_0000084	2017-04-25	2017.313318
OQ818325	2018-09-11	2018.694521
OQ818328	2018-09-12	2018.697260
NODE_0000085	1996-09-29	1996.745237
NODE_0000086	2008-09-11	2008.696134
MF352423.1	2012-07-15	2012.536885
NODE_0000087	2011-03-31	2011.246305
MF352419.1	2012-07-15	2012.536885
NODE_0000088	2011-05-21	2011.384120
KJ641699.1	2011-09-15	2011.705479
NODE_0000089	2012-01-03	2012.006728
KJ641687.1	2012-11-15	2012.872951
KJ641690.1	2012-12-15	2012.954918
NODE_0000090	2004-10-18	2004.796965
NODE_0000091	2008-09-08	2008.688264
HQ595345.1	2008-09-12	2008.698087
HQ595344.1	2008-09-12	2008.698087
NODE_0000092	2009-07-16	2009.537046
NODE_0000093	2012-04-15	2012.287577
NODE_0000094	2012-04-15	2012.287577
KJ641693.1	2013-03-15	2013.201370
OP963670.1	2018-07-15	2018.535616
NODE_0000095	2018-05-12	2018.358996
OQ363766.1	2021-12-15	2021.954795
NODE_0000096	2020-11-19	2020.885092
OQ363774.1	2021-12-15	2021.954795
OQ363775.1	2021-12-15	2021.954795
NODE_0000097	2017-09-22	2017.724681
NODE_0000098	2021-12-19	2021.964796
OQ363768.1	2022-04-15	2022.286301
NODE_0000099	2021-12-26	2021.985849
OQ363767.1	2022-01-15	2022.039726
OQ363764.1	2022-07-15	2022.535616
NODE_0000100	2020-11-02	2020.837203
NODE_0000101	2020-12-13	2020.950438
OQ363773.1	2020-12-15	2020.954918
OQ363771.1	2020-12-15	2020.954918
NODE_0000102	2020-11-15	2020.872033
