Accession,Organism_Name,Isolate,Species,Genus,Family,Country,Host,Collection_Date
NC_034453.1,Ferret parechovirus,MpPeV1,Parechovirus D,Parechovirus,Picornaviridae,Netherlands,Mustela putorius furo,
NC_055160.1,Rabovirus D1,MPV/NYC/2014/M005/0074,Rabovirus D,Rabovirus,Picornaviridae,USA,Mus musculus,2014-08-15
NC_077220.1,Ovine picornavirus,NA,Ovine picornavirus,,Picornaviridae,United Kingdom,Ovis aries,
NC_026316.1,malagasivirus B1,Nai108015/2012,Malagasivirus B,Malagasivirus,Picornaviridae,USA,Varecia variegata,2012
NC_038878.1,Human rhinovirus NAT001,NAT001,Rhinovirus C,Enterovirus,Picornaviridae,,,2001-11-15
NC_025675.1,hunnivirus A4,NrHuV/NYC-E21,Hunnivirus A,Hunnivirus,Picornaviridae,USA,Rattus norvegicus,2012-12-02
NC_039210.1,Foot-and-mouth disease virus O,o6pirbright iso58,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,United Kingdom,,
NC_026470.1,mischivirus C1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,Democratic Republic of the Congo,Macronycteris gigas,2013
NC_028363.1,Rodent hepatovirus RMU101637Micarv2010,RMU101637Micarv2010,Hepatovirus D,Hepatovirus,Picornaviridae,Germany,Microtus arvalis,2010
NC_075995.1,rohelivirus A1,rodent/Ds/PicoV/IM2014,Rohelivirus A,Rohelivirus,Picornaviridae,China,Rodentia,
NC_038989.1,Picornaviridae sp. rodent/Ee/PicoV/NX2015,rodent/Ee/PicoV/NX2015,Enterovirus K,Enterovirus,Picornaviridae,China,Rodentia,
NC_055156.1,Rabovirus B1,RtMp-PicoV/YN2014,Rabovirus B,Rabovirus,Picornaviridae,China,Rodentia,
NC_075977.1,cardiovirus F1,RtMruf-PicoV/JL2014-1,Cardiovirus F,Cardiovirus,Picornaviridae,China,Rodentia,
NC_076099.1,cardiovirus E1,RtMrut-PicoV/JL2014-1,Cardiovirus E,Cardiovirus,Picornaviridae,China,Rodentia,
NC_025114.1,Salivirus FHB,SaliV-FHB,Salivirus FHB,Salivirus,Picornaviridae,China,Homo sapiens,2011
NC_029905.1,Enterovirus SEV-gx,SEV-gx,Enterovirus L,Enterovirus,Picornaviridae,China,Macaca mulatta,2014-05-17
NC_016769.1,Porcine kobuvirus SH-W-CHN/2010/China,SH-W-CHN/2010/China,Aichivirus C,Kobuvirus,Picornaviridae,China,Sus scrofa,10-Dec
NC_010415.1,Enterovirus J,Simian enterovirus SV6,Enterovirus J,Enterovirus,Picornaviridae,,,
NC_013695.1,Enterovirus J,Simian picornavirus strain N203,Enterovirus J,Enterovirus,Picornaviridae,,,
NC_034971.1,Canine kobuvirus,SMCD-59,Canine kobuvirus,Kobuvirus,Picornaviridae,China,Canis lupus familiaris,15-Sep
NC_038313.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,Madagascar,Miniopterus,2014
NC_011349.1,Senecavirus A,SVV-001,Senecavirus A,Senecavirus,Picornaviridae,USA,,
