Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
MN116646.1,Cardiovirus B,,Cardiovirus B,Cardiovirus,Hungary,Rattus norvegicus,0,2018,0
MN547968.1,Encephalomyocarditis virus,SG-G15150-19,Cardiovirus A,Cardiovirus,Singapore,Cuniculus,0,2019,0
MT250508.1,Encephalomyocarditis virus,FRA/SIG/1/2013,Cardiovirus A,Cardiovirus,France,Loxodonta africana,0,2013,0
MT250509.1,Encephalomyocarditis virus,FRA/SIG/1/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,0,2013,0
MT250510.1,Encephalomyocarditis virus,FRA/SIG/2/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,0,2014,0
MT250511.1,Encephalomyocarditis virus,FRA/SIG/3/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,0,2014,0
MT499387.1,Encephalomyocarditis virus,SG-NParks-M100-02,Cardiovirus A,Cardiovirus,Singapore,Pongo pygmaeus,0,2002,0
MZ382838.1,Marmot cardiovirus,,Marmot cardiovirus,Cardiovirus,China,Himalayan marmot,0,2014,0
NC_001366.1,Theilovirus,,Cardiovirus B,Cardiovirus,United Kingdom,Mus musculus,0,1990,0
NC_001479.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Homo sapiens,0,1992,0
NC_009448.2,Saffold virus,,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2007,0
NC_010810.1,Saffold virus 2,,Cardiovirus D,Cardiovirus,USA,Homo sapiens,0,2022,0
NC_038305.1,cardiovirus C1,BCV-1,Cardiovirus C,Cardiovirus,USA,Rattus norvegicus,0,2010,0
NC_075977.1,cardiovirus F1,RtMruf-PicoV/JL2014-1,Cardiovirus F,Cardiovirus,China,Rodentia,0,2018,0
NC_076099.1,cardiovirus E1,RtMrut-PicoV/JL2014-1,Cardiovirus E,Cardiovirus,China,Rodentia,0,2018,0
OL519583.1,Saffold virus,xz015-SAFV-2,Cardiovirus B,Cardiovirus,China,Homo sapiens,0,2018,0
X56019.1,Theiler's murine encephalomyeltits virus GDVII,,Cardiovirus B,Cardiovirus,United Kingdom,Mus,0,1990,0
X87335.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,Germany,Mus musculus,0,1995,0
